epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.52129,1.65981,4.61957,1.66925,0.00173,0.15053,0.03444,0.01537,2.18587,3.76401,2.00909,0.0901,0.0001,0.0001
2,16.1706,1.54623,3.50871,1.57882,0.00031,0.05143,0.00023,3e-05,3.27695,3.94507,3.18742,0.079209,0.00020896,0.00020896
3,20.1369,1.54034,2.67326,1.52325,0.07407,0.01802,0.04108,0.02276,2.8464,4.47976,2.73443,0.0683168,0.000316832,0.000316832
4,23.5151,1.55615,2.41121,1.55861,0.44444,0.04816,0.24837,0.19404,2.29053,4.41709,2.15102,0.0574236,0.000423614,0.000423614
5,26.9308,1.50488,2.17967,1.499,0.46167,0.1826,0.31277,0.18302,1.71504,4.08793,1.77524,0.0465293,0.000529308,0.000529308
6,30.3761,1.45624,1.99922,1.46663,0.36831,0.36129,0.34076,0.20889,1.61069,3.78371,1.65254,0.0356339,0.000633912,0.000633912
7,33.823,1.46248,1.97517,1.48552,0.55259,0.16309,0.26756,0.15568,1.8196,3.24433,1.73625,0.0247374,0.000737428,0.000737428
8,37.6138,1.45121,1.96128,1.482,0.62955,0.12367,0.19144,0.12598,2.04329,3.60172,2.14587,0.0138399,0.000839854,0.000839854
9,41.1073,1.47354,1.9345,1.49392,0.52183,0.34457,0.38735,0.24071,1.73458,2.49728,1.7767,0.00294119,0.000941192,0.000941192
10,44.7555,1.43795,1.84294,1.47502,0.36195,0.29035,0.28579,0.18551,1.74002,2.6273,1.78412,0.00095545,0.00095545,0.00095545
11,48.2314,1.44496,1.87078,1.50132,0.46265,0.2694,0.29006,0.17334,1.78773,2.83417,1.90304,0.0009505,0.0009505,0.0009505
12,51.7443,1.47552,1.86309,1.48422,0.35245,0.281,0.20469,0.08638,1.83592,3.14775,1.84438,0.00094555,0.00094555,0.00094555
13,55.2596,1.44022,1.8292,1.46213,0.45738,0.38123,0.32172,0.17837,1.78899,2.5983,1.84414,0.0009406,0.0009406,0.0009406
14,58.7128,1.35116,1.68749,1.41399,0.44726,0.32246,0.28646,0.18272,1.71119,2.85361,1.81838,0.00093565,0.00093565,0.00093565
15,62.1997,1.35497,1.76425,1.42396,0.63226,0.21882,0.33077,0.18974,1.84143,2.99272,1.90057,0.0009307,0.0009307,0.0009307
16,65.6968,1.36687,1.76138,1.43849,0.51622,0.33581,0.33076,0.21385,1.70897,2.75431,1.84107,0.00092575,0.00092575,0.00092575
17,69.1271,1.38138,1.75801,1.4412,0.75533,0.32283,0.40466,0.24603,1.78079,2.71887,1.84891,0.0009208,0.0009208,0.0009208
